Site,SubCatch,Slope,Elevation,LC,SAR,Area,CV,HV
9,28,2.964608430862426758e+00,9.069249725341796875e+01,6.524764105332922099e+02,1.000629782676696777e+00,4.196250000000000000e+06,0.000000000000000000e+00,1.080000000000000000e+02
9,29,3.895240306854248047e+00,8.063033294677734375e+01,7.691216944449395214e+02,1.001310229301452637e+00,2.244375000000000000e+06,0.000000000000000000e+00,3.500000000000000000e+01
9,30,3.596018552780151367e+00,2.984367370605468750e+01,4.729183272076311937e+02,1.002153515815734863e+00,5.040000000000000000e+06,0.000000000000000000e+00,3.320000000000000000e+02
10,1,5.959958553314208984e+00,5.132670593261718750e+01,8.378985488610120456e+02,1.005048274993896484e+00,3.813750000000000000e+06,1.310000000000000000e+02,1.190000000000000000e+02
10,2,2.858749866485595703e+00,1.477194690704345703e+01,8.527160060950237721e+02,1.001009225845336914e+00,2.745000000000000000e+06,2.220000000000000000e+02,1.230000000000000000e+02
10,3,1.966317296028137207e+00,1.313465213775634766e+01,7.118926464269520693e+02,1.000643014907836914e+00,3.155625000000000000e+06,2.780000000000000000e+02,1.830000000000000000e+02
10,4,9.518099427223205566e-01,9.829630851745605469e+00,9.871132043378472645e+02,1.000187754631042480e+00,1.524375000000000000e+06,1.510000000000000000e+02,8.900000000000000000e+01
10,5,2.691890299320220947e-01,4.619245052337646484e+00,6.678146497736066749e+02,1.000016570091247559e+00,3.054375000000000000e+06,5.430000000000000000e+02,2.670000000000000000e+02
10,6,4.800952911376953125e+00,9.719023132324218750e+01,6.200480646437796395e+02,1.001883149147033691e+00,4.831875000000000000e+06,0.000000000000000000e+00,1.300000000000000000e+01
10,7,1.498835206031799316e+00,1.125235462188720703e+01,4.921512008066859494e+02,1.000313162803649902e+00,4.826250000000000000e+06,5.170000000000000000e+02,4.260000000000000000e+02
10,8,1.637794137001037598e+00,1.124378299713134766e+01,7.837719079831565523e+02,1.000411868095397949e+00,5.546250000000000000e+06,6.220000000000000000e+02,2.780000000000000000e+02
10,9,8.663268685340881348e-01,8.515969276428222656e+00,6.374901901788560963e+02,1.000132679939270020e+00,2.553750000000000000e+06,3.430000000000000000e+02,1.930000000000000000e+02
10,10,5.854532718658447266e+00,6.467763519287109375e+01,5.610936896409870087e+02,1.003325343132019043e+00,8.938125000000000000e+06,0.000000000000000000e+00,9.700000000000000000e+01
10,11,1.049633026123046875e+00,4.375991821289062500e+00,5.858634830992074285e+02,1.000535011291503906e+00,2.666250000000000000e+06,4.270000000000000000e+02,2.270000000000000000e+02
10,12,4.707300662994384766e+00,4.041266632080078125e+01,4.318979593901019030e+02,1.002589583396911621e+00,5.383125000000000000e+06,3.100000000000000000e+01,2.040000000000000000e+02
10,13,2.170612812042236328e+00,1.775011062622070312e+01,6.847689049361953266e+02,1.000466823577880859e+00,6.530625000000000000e+06,3.660000000000000000e+02,3.780000000000000000e+02
10,14,5.786596298217773438e+00,5.326728057861328125e+01,6.651468787779342620e+02,1.003152489662170410e+00,7.616250000000000000e+06,0.000000000000000000e+00,6.100000000000000000e+01
10,15,4.719613552093505859e+00,3.891556167602539062e+01,5.749228935962120204e+02,1.001941084861755371e+00,5.169375000000000000e+06,2.600000000000000000e+01,1.130000000000000000e+02
10,16,5.342669963836669922e+00,4.304112243652343750e+01,5.694684477586030198e+02,1.002279877662658691e+00,1.901250000000000000e+06,0.000000000000000000e+00,1.500000000000000000e+01
10,17,1.143678760528564453e+01,7.853996276855468750e+01,6.958866202919007264e+02,1.016985654830932617e+00,3.504375000000000000e+06,0.000000000000000000e+00,6.000000000000000000e+00
10,18,3.789846420288085938e+00,4.132061004638671875e+01,7.632325195317448561e+02,1.001573801040649414e+00,2.784375000000000000e+06,0.000000000000000000e+00,1.120000000000000000e+02
10,19,3.988483667373657227e+00,4.887133026123046875e+01,5.878823848497080462e+02,1.001730799674987793e+00,4.983750000000000000e+06,0.000000000000000000e+00,2.360000000000000000e+02
10,20,1.001489734649658203e+01,5.091180038452148438e+01,4.146764839844216226e+02,1.010113239288330078e+00,1.811250000000000000e+06,0.000000000000000000e+00,2.800000000000000000e+01
10,21,3.862307071685791016e+00,5.260680007934570312e+01,5.198482950922031023e+02,1.001273632049560547e+00,5.625000000000000000e+06,0.000000000000000000e+00,1.040000000000000000e+02
10,22,5.532374858856201172e+00,8.153145599365234375e+01,7.264252118013930613e+02,1.002510547637939453e+00,4.005000000000000000e+06,0.000000000000000000e+00,1.600000000000000000e+01
10,23,5.188834190368652344e+00,3.763759613037109375e+01,5.421850214087054383e+02,1.002398729324340820e+00,1.406250000000000000e+06,0.000000000000000000e+00,1.300000000000000000e+01
10,24,5.667209148406982422e+00,7.799231719970703125e+01,5.308433445381702995e+02,1.004033446311950684e+00,4.466250000000000000e+06,0.000000000000000000e+00,5.900000000000000000e+01
10,25,3.348022222518920898e+00,6.421386718750000000e+01,7.709775212612807991e+02,1.000829815864562988e+00,4.179375000000000000e+06,0.000000000000000000e+00,5.400000000000000000e+01
10,26,6.845339298248291016e+00,4.772486114501953125e+01,3.575129305304225227e+02,1.004307866096496582e+00,3.031875000000000000e+06,0.000000000000000000e+00,7.000000000000000000e+01
10,27,5.422055721282958984e+00,7.118774414062500000e+01,6.835086378642311047e+02,1.003170847892761230e+00,8.628750000000000000e+06,0.000000000000000000e+00,6.000000000000000000e+01
10,28,3.675447702407836914e+00,1.145967788696289062e+02,7.820178677885007801e+02,1.001279711723327637e+00,4.365000000000000000e+06,0.000000000000000000e+00,4.000000000000000000e+01
10,29,3.116750478744506836e+00,2.632688140869140625e+01,6.369502063694316121e+02,1.001399517059326172e+00,4.401562500000000000e+07,2.360000000000000000e+03,2.035000000000000000e+03
11,1,2.720326185226440430e+00,5.219750595092773438e+01,6.754820634395319985e+02,1.000696897506713867e+00,4.280625000000000000e+06,0.000000000000000000e+00,2.470000000000000000e+02
11,2,2.774141788482666016e+00,4.625185394287109375e+01,8.747686913798082742e+02,1.000692248344421387e+00,3.937500000000000000e+06,0.000000000000000000e+00,1.610000000000000000e+02
11,3,2.121037721633911133e+00,2.856259155273437500e+01,6.257794894423090000e+02,1.000397801399230957e+00,4.297500000000000000e+06,3.000000000000000000e+00,1.940000000000000000e+02
11,4,2.132562875747680664e+00,1.783470726013183594e+01,6.205255025569471172e+02,1.000603199005126953e+00,4.432500000000000000e+06,2.240000000000000000e+02,1.960000000000000000e+02
11,5,2.121226549148559570e+00,2.435739707946777344e+01,5.772281933570671981e+02,1.000498771667480469e+00,2.227500000000000000e+06,1.100000000000000000e+01,1.360000000000000000e+02
11,6,1.270188689231872559e+00,1.630638313293457031e+01,7.618389091819017267e+02,1.000153779983520508e+00,1.991250000000000000e+06,5.400000000000000000e+01,1.210000000000000000e+02
11,7,2.662853240966796875e+00,1.563276767730712891e+01,4.648038863967483394e+02,1.000854730606079102e+00,2.722500000000000000e+06,1.020000000000000000e+02,1.400000000000000000e+02
11,8,2.637913227081298828e+00,2.739109802246093750e+01,6.058839324864175069e+02,1.000788092613220215e+00,5.692500000000000000e+06,7.500000000000000000e+01,2.740000000000000000e+02
11,9,2.095797777175903320e+00,2.249941444396972656e+01,8.005333386611778224e+02,1.000830054283142090e+00,3.268125000000000000e+06,1.000000000000000000e+00,1.080000000000000000e+02
11,10,1.172602057456970215e+00,8.394499778747558594e+00,4.792470837083595825e+02,1.000234365463256836e+00,1.012500000000000000e+06,1.200000000000000000e+02,9.500000000000000000e+01
12,1,2.198315382003784180e+00,2.232603073120117188e+01,7.274751501791309920e+02,1.000415086746215820e+00,3.723750000000000000e+06,1.400000000000000000e+01,1.790000000000000000e+02
12,2,2.934213399887084961e+00,2.269532966613769531e+01,6.724305927191953742e+02,1.000831484794616699e+00,2.300625000000000000e+06,4.100000000000000000e+01,8.700000000000000000e+01
12,3,5.118239402770996094e+00,2.832745742797851562e+01,6.139369856262497933e+02,1.003713369369506836e+00,4.753125000000000000e+06,2.600000000000000000e+01,5.400000000000000000e+01
12,4,3.474336624145507812e+00,2.855295562744140625e+01,5.832817617950487374e+02,1.001467943191528320e+00,2.131875000000000000e+06,1.900000000000000000e+01,3.800000000000000000e+01
12,5,3.583838462829589844e+00,2.450564193725585938e+01,6.481965513456642611e+02,1.001666188240051270e+00,2.840625000000000000e+06,4.500000000000000000e+01,6.300000000000000000e+01
12,6,3.458033084869384766e+00,4.755258941650390625e+01,4.782605656578064668e+02,1.001177310943603516e+00,7.166250000000000000e+06,0.000000000000000000e+00,2.690000000000000000e+02
12,7,2.372474431991577148e+00,9.723947525024414062e+00,6.128538707292930212e+02,1.000702738761901855e+00,8.521875000000000000e+06,6.660000000000000000e+02,5.200000000000000000e+02
12,8,3.373168230056762695e+00,4.278596878051757812e+01,6.161083970368224527e+02,1.001255989074707031e+00,3.847500000000000000e+06,0.000000000000000000e+00,1.510000000000000000e+02
12,9,4.120909690856933594e+00,3.004522132873535156e+01,5.331021330117268917e+02,1.001704812049865723e+00,4.061250000000000000e+06,1.200000000000000000e+01,8.200000000000000000e+01
12,10,2.591540575027465820e+00,1.608677101135253906e+01,7.235729049184342330e+02,1.000851750373840332e+00,2.700000000000000000e+06,1.630000000000000000e+02,1.350000000000000000e+02
12,11,1.709916591644287109e+00,6.517766952514648438e+00,8.139191932100665099e+02,1.000362038612365723e+00,1.158750000000000000e+06,1.100000000000000000e+02,4.400000000000000000e+01
12,12,3.101100921630859375e+00,2.306822204589843750e+01,5.097006949010672656e+02,1.001039981842041016e+00,3.954375000000000000e+06,7.000000000000000000e+01,1.920000000000000000e+02
12,13,3.011732339859008789e+00,2.525063705444335938e+01,7.142896774649698273e+02,1.001135230064392090e+00,1.766250000000000000e+06,3.800000000000000000e+01,4.000000000000000000e+01
12,14,3.423686027526855469e+00,1.760205078125000000e+01,4.905520925389175773e+02,1.001982688903808594e+00,4.415625000000000000e+06,3.580000000000000000e+02,3.070000000000000000e+02
12,15,2.855112314224243164e+00,1.527171993255615234e+01,4.752328513438150139e+02,1.001296281814575195e+00,3.268125000000000000e+06,2.840000000000000000e+02,2.540000000000000000e+02
12,16,2.591179609298706055e+00,2.467966079711914062e+01,6.900752952268976514e+02,1.000842213630676270e+00,4.151250000000000000e+06,1.340000000000000000e+02,1.850000000000000000e+02
12,17,5.729347705841064453e+00,3.333247756958007812e+01,5.909536056342714119e+02,1.003254532814025879e+00,6.311250000000000000e+06,1.880000000000000000e+02,1.850000000000000000e+02
